x,y,oggFile
0.86988,0.32999,sound_music/Hn-brassy-B3-ff.ogg
0.73863,0.68962,sound_music/Hn-brassy-A2-ff.ogg
0.88632,0.42717,sound_music/Hn-brassy-C5-ff.ogg
0.8422,0.54724,sound_music/TTbn-brassy-B3-ff.ogg
0.71683,0.5716,sound_music/TTbn-brassy-A2-ff.ogg
0.87358,0.54267,sound_music/TTbn-brassy-G4-ff.ogg
0.9759,0.67967,sound_music/TpC-brassy-B4-ff.ogg
0.91659,0.63811,sound_music/TpC-brassy-A3-ff.ogg
0.85579,0.84905,sound_music/TpC-brassy-C6-ff.ogg
0.68244,0.52553,sound_music/BBTb-brassy-D4-ff.ogg
0.65494,0.53568,sound_music/BBTb-brassy-Cd4-ff.ogg
0.67378,0.40362,sound_music/BBTb-brassy-Dd4-ff.ogg
0.66398,0.59041,sound_music/21922__anton__drone-key-d-02.ogg
0.56093,0.48863,sound_music/21922__anton__drone-key-d-01.ogg
0.62427,0.54365,sound_music/21922__anton__drone-key-d-03.ogg
0.86351,0.14849,sound_music/TpC-ord-B4-mf.ogg
0.75165,0.056878,sound_music/TpC-ord-A3-mf.ogg
0.80533,0.59977,sound_music/TpC-ord-C6-mf.ogg
0.54367,0.10157,sound_music/Hn-ord-B3-mf.ogg
0.45681,0.32098,sound_music/Hn-ord-A2-mf.ogg
0.56445,0,sound_music/Hn-ord-C5-mf.ogg
0.53527,0.0020272,sound_music/TTbn-ord-B3-mp.ogg
0.47528,0.15736,sound_music/TTbn-ord-A2-mp.ogg
0.57469,0.15101,sound_music/TTbn-ord-C5-mp.ogg
0.22598,0.31067,sound_music/BBTb-ord-A1-mf.ogg
0.27361,0.26618,sound_music/BBTb-ord-B2-mf.ogg
0.35511,0.25822,sound_music/BBTb-ord-C4-mf.ogg
0.099636,0.065108,sound_music/191542__seidhepriest__tom-mid-4-p.ogg
0.038999,0.18352,sound_music/191547__seidhepriest__tom-low-4-p.ogg
0.10369,0.039329,sound_music/191553__seidhepriest__tom-high-2-p.ogg
0.14275,0.14488,sound_music/185350__seidhepriest__timbal-hembra-low-4.ogg
0.025065,0.50083,sound_music/185355__seidhepriest__timbal-macho-high-4.ogg
0.052235,0.31121,sound_music/185358__seidhepriest__timbal-macho-high-1.ogg
0.10855,0.28651,sound_music/234375__seidhepriest__tumbadora-3.ogg
0.02916,0.62131,sound_music/234374__seidhepriest__tumbadora-4.ogg
0.083507,0.42878,sound_music/234377__seidhepriest__tumbadora-1.ogg
0.10458,0.62833,sound_music/20windgong.ff.stereo.ogg
0.05499,0.6035,sound_music/22tamtam.ff.stereo.ogg
0.027644,0.42734,sound_music/28tamtam.ff.stereo.ogg
0.13743,0.19658,sound_music/thaigong.ff.E4.stereo.ogg
0.14199,0.096792,sound_music/thaigong.ff.C5.stereo.ogg
0.2109,0.41106,sound_music/thaigong.ff.A4.stereo.ogg
0.10016,0.80406,sound_music/clave4.ff.stereo.ogg
0.14778,0.77169,sound_music/clave1.ff.stereo.ogg
0.089798,0.85303,sound_music/clave6.ff.stereo.ogg
0.15575,0.60452,sound_music/339820__inspectorj__hand-bells-high-c-single.ogg
0.1312,0.8318,sound_music/339816__inspectorj__hand-bells-f-single.ogg
0.14329,0.83688,sound_music/339808__inspectorj__hand-bells-c-db-single.ogg
0.2503,0.58465,sound_music/169266__seidhepriest__castagnette-ntg1-4.ogg
0.015479,0.71671,sound_music/castanet1.ff.stereo.ogg
0.043675,0.81598,sound_music/castanet2.ff.stereo.ogg
0.15701,0.66402,sound_music/6triangle.ff.stereo.ogg
0.17216,0.76259,sound_music/8triangle.ff.stereo.ogg
0.03105,0.76842,sound_music/5.5wb.ff.stereo.ogg
0.055146,0.82753,sound_music/7wb.ff.stereo.ogg
0.0060632,0.60325,sound_music/8.5wb.ff.stereo.ogg
0.09915,0.13234,sound_music/Xylophone.rosewood.ff.A4.stereo.ogg
0.1598,0.54416,sound_music/Xylophone.rosewood.ff.B5.stereo.ogg
0.22609,0.53501,sound_music/Xylophone.rosewood.ff.C7.stereo.ogg
0.16242,0.21101,sound_music/Marimba.cord.ff.A3.stereo.ogg
0.14851,0.31453,sound_music/Marimba.cord.ff.B4.stereo.ogg
0.1768,0.6143,sound_music/Marimba.cord.ff.C6.stereo.ogg
0.32816,0.20884,sound_music/39186__jobro__piano-ff-039.ogg
0.29025,0.098049,sound_music/39148__jobro__piano-ff-001.ogg
0.20052,0.28019,sound_music/39212__jobro__piano-ff-064.ogg
0.64775,0.15552,sound_music/30084__herbertboland__femalephrase1-02.ogg
0.79235,0.073065,sound_music/30084__herbertboland__femalephrase1-01.ogg
0.76384,0.13212,sound_music/30084__herbertboland__femalephrase1-03.ogg
0.86752,0.43626,sound_music/Vn-ord-B4-mf-2c.ogg
0.71293,0.43238,sound_music/Vn-ord-A3-mf-4c.ogg
0.85637,0.76754,sound_music/Vn-ord-C6-mf-1c.ogg
0.68649,0.22953,sound_music/Va-ord-A3-mf-4c.ogg
0.76957,0.69226,sound_music/Va-ord-B4-mf-3c.ogg
0.79154,0.71414,sound_music/Va-ord-C6-mf-2c.ogg
0.37086,0.42275,sound_music/Cb-ord-A1-mf-4c.ogg
0.38475,0.40531,sound_music/Cb-ord-B2-mf-3c.ogg
0.64849,0.44916,sound_music/Cb-ord-C4-mf-2c.ogg
0.56989,0.41536,sound_music/Vc-ord-A2-mf-4c.ogg
0.765,0.58845,sound_music/Vc-ord-B3-mf-2c.ogg
0.7822,0.44794,sound_music/Vc-ord-C5-mf-2c.ogg
0.030736,0.34684,sound_music/Vc-pizz-lv-A2-ff-3c.ogg
0.078025,0.56342,sound_music/Vc-pizz-lv-B3-ff-1c.ogg
0.11585,0.51509,sound_music/Vc-pizz-lv-C5-ff-1c.ogg
0.16077,0.41546,sound_music/Vn-pizz-lv-B4-mf-3c.ogg
0.065043,0.69949,sound_music/Vn-pizz-lv-A3-ff-4c.ogg
0.12181,0.43035,sound_music/Vn-pizz-lv-C6-ff-2c.ogg
0.053648,0.41349,sound_music/Va-pizz-lv-A3-mf-3c.ogg
0.042319,0.52586,sound_music/Va-pizz-lv-B4-ff-1c.ogg
0.044195,0.67367,sound_music/Va-pizz-lv-C6-ff-1c.ogg
0,0.38693,sound_music/Cb-pizz-lv-A1-ff-3c.ogg
0.084069,0.31038,sound_music/Cb-pizz-lv-C4-ff-1c.ogg
0.075218,0.20446,sound_music/Cb-pizz-lv-B2-ff-2c.ogg
0.0701,0.11354,sound_music/Gtr-ord-B3-mf-4c.ogg
0.018974,0.27076,sound_music/Gtr-ord-A2-ff-5c.ogg
0.12482,0.11004,sound_music/Gtr-ord-C5-mf-2c.ogg
0.11945,0.026646,sound_music/Hp-ord-C5-mf.ogg
0.0016884,0.47923,sound_music/Hp-ord-B3-ff.ogg
0.043731,0.23281,sound_music/Hp-ord-A2-ff.ogg
0.24756,0.48692,sound_music/23863__loofa__clav024.ogg
0.25943,0.40059,sound_music/23858__loofa__clav002.ogg
0.26047,0.45925,sound_music/23867__loofa__clav040.ogg
0.80213,0.39997,sound_music/Fl-ord-B5-mf.ogg
0.84681,0.12232,sound_music/Fl-ord-A4-ff.ogg
0.76189,0.88529,sound_music/Fl-ord-C7-mf.ogg
0.73916,0.42196,sound_music/AltoFlute.vib.ff.B4.stereo.ogg
0.63712,0.38478,sound_music/AltoFlute.vib.ff.A3.stereo.ogg
0.78879,0.75938,sound_music/AltoFlute.vib.ff.C6.stereo.ogg
0.54691,0.38968,sound_music/BassFlute.ff.A3.stereo.ogg
0.74677,0.50101,sound_music/BassFlute.ff.B4.stereo.ogg
0.69923,0.26063,sound_music/BassFlute.ff.C6.stereo.ogg
0.76487,0.27596,sound_music/278175__mrshoes__panflute-scale-octave-and-a-half-02.ogg
0.68559,0.35606,sound_music/278175__mrshoes__panflute-scale-octave-and-a-half-01.ogg
0.80859,0.19387,sound_music/278175__mrshoes__panflute-scale-octave-and-a-half-03.ogg
0.5972,0.1121,sound_music/Bn-ord-B3-mf.ogg
0.61716,0.18012,sound_music/Bn-ord-A2-mf.ogg
0.69367,0.084543,sound_music/Bn-ord-C5-mf.ogg
0.84306,0.26394,sound_music/Ob-ord-A4-mf.ogg
0.7568,0.21809,sound_music/Ob-ord-B3-mf.ogg
0.78316,0.16779,sound_music/Ob-ord-C6-mf.ogg
0.66211,0.63507,sound_music/Acc-ord-B3-mf.ogg
0.62579,0.47056,sound_music/Acc-ord-C5-mf.ogg
0.50172,0.39574,sound_music/Acc-ord-A2-mf.ogg
1,0.97326,sound_music/116892__cbeeching__c-harmonica-3.ogg
0.91872,1,sound_music/116903__cbeeching__e-harmonica-3.ogg
0.85795,0.65691,sound_music/116896__cbeeching__d-harmonica-3.ogg
0.82527,0.4012,sound_music/BassClarinet.ff.B3.stereo.ogg
0.75279,0.75512,sound_music/BassClarinet.ff.A2.stereo.ogg
0.89351,0.29187,sound_music/BassClarinet.ff.C5.stereo.ogg
0.70173,0.061921,sound_music/BbCl-ord-B4-mf.ogg
0.72632,0.052907,sound_music/BbCl-ord-A3-mf.ogg
0.70721,0.1781,sound_music/BbCl-ord-C6-mf.ogg
0.8246,0.67009,sound_music/SopSax.vib.ff.B4.stereo.ogg
0.80586,0.52631,sound_music/SopSax.vib.ff.A3.stereo.ogg
0.7624,0.77304,sound_music/SopSax.vib.ff.C6.stereo.ogg
0.84075,0.1986,sound_music/ASax-ord-D4-mf.ogg
0.7764,0.044597,sound_music/ASax-ord-E3-mf.ogg
0.95273,0.41829,sound_music/ASax-ord-C5-mf.ogg
