x,y,oggFile
0.26885,0.59147,sound_urban/bateaux_vagues.ogg
0.22,0.48095,sound_urban/bateaux.ogg
0.25742,0.57643,sound_urban/bateaux.ogg
0.41852,0.6392,sound_urban/003_tra.ogg
0.38718,0.63105,sound_urban/007_tra.ogg
0.25036,0.34375,sound_urban/041_tra.ogg
0.35994,0.5876,sound_urban/057_bus_frei.ogg
0.30359,0.38985,sound_urban/037_bus_pas.ogg
0.41712,0.57884,sound_urban/052_bus_passa.ogg
0.34878,0.61028,sound_urban/055_bus_pas.ogg
0.30269,0.2971,sound_urban/037_bus_p.ogg
0.40334,0.48634,sound_urban/057_bus_por.ogg
0.43436,0.51968,sound_urban/037_voiture_passa.ogg
0.262,0.3287,sound_urban/049_voiture_frei.ogg
0.28575,0.51046,sound_urban/049_voiture_passag.ogg
0.2926,0.34119,sound_urban/067_voiture_passa.ogg
0.30968,0.56254,sound_urban/073_voiture_passa.ogg
0.49707,0.40613,sound_urban/077_porte_voi.ogg
0.38917,0.34524,sound_urban/077_porte_voitu.ogg
0.55612,0.45798,sound_urban/077_porte_voitu.ogg
0.38667,0.53552,sound_urban/046_camion_pas.ogg
0.30555,0.4695,sound_urban/056_camion_pas.ogg
0.36308,0.46137,sound_urban/067_camion_frei.ogg
0.3465,0.64713,sound_urban/069_camion_passa.ogg
0.20598,0.2816,sound_urban/047_scooter_demar.ogg
0.31895,0.41412,sound_urban/037_scooter_passa.ogg
0.33046,0.61416,sound_urban/047_scooter_passa.ogg
0.23,0.39281,sound_urban/052_scooter_passa.ogg
0.44229,0.53604,sound_urban/056_moto_passa.ogg
0.5447,0.48828,sound_urban/013_Moto_passa.ogg
0.32625,0.5555,sound_urban/071_moto_passa.ogg
0.36892,0.29647,sound_urban/049_moto_demarra.ogg
0.25443,0.2893,sound_urban/070_kl.ogg
0.24381,0.46346,sound_urban/US_Klaxon.ogg
0.41026,0.67766,sound_urban/klaxon_voitu.ogg
0.50868,0.71116,sound_urban/klaxon_voitu.ogg
0.83043,0.11526,sound_urban/alarme_6010_velo_.ogg
0.75134,0.41831,sound_urban/alarme_6010_velo_.ogg
0.45108,0.23882,sound_urban/079_03_velo_sonnet.ogg
0.71892,0.64182,sound_urban/cloches_6010_.ogg
0.56493,0.86527,sound_urban/cloches_6010_.ogg
0.47006,0.63581,sound_urban/cloches_6010_.ogg
0.56518,0.67286,sound_urban/US_Alarme_voi.ogg
0.095498,0.15143,sound_urban/US_Alarme_ince.ogg
0.37378,0.74511,sound_urban/US_Alarme_voitu.ogg
0.38991,0.86959,sound_urban/US_sirene_poli.ogg
0.39973,0.95581,sound_urban/US_sirene_ambulan.ogg
0.37018,1,sound_urban/US_sirene_pompi.ogg
0.78591,0.30094,sound_urban/US_siffl.ogg
0.53849,0.085446,sound_urban/US_siffl.ogg
0.28418,0.22493,sound_urban/animaux_6003_pigeons_.ogg
0.30056,0.23441,sound_urban/animaux_6003_pigeons.ogg
0.30497,0.21296,sound_urban/animaux_6003_pigeons.ogg
0.46319,0.37503,sound_urban/026_oiseaux_c.ogg
0.2865,0.54983,sound_urban/018_oiseaux_cha.ogg
0.33965,0.48561,sound_urban/018_oiseaux_c.ogg
0.55569,0.59633,sound_urban/oiseaux_corbeau.ogg
0.91601,0.39678,sound_urban/animaux_6003_chien_.ogg
1,0.40687,sound_urban/animaux_6003_chien.ogg
0.94715,0.43974,sound_urban/animaux_6003_chien.ogg
0.55105,0.39966,sound_urban/animaux_6003_chien.ogg
0.77043,0.24095,sound_urban/animaux_6003_cheval_.ogg
0.6276,0.24535,sound_urban/animaux_6003_cheval_.ogg
0.90284,0.23489,sound_urban/animaux_6003_cheval_.ogg
0.42254,0.33801,sound_urban/023_roll.ogg
0.27241,0.28253,sound_urban/jeux_tobogan_6031_.ogg
0.44397,0.47149,sound_urban/022_ba.ogg
0.72797,0.3591,sound_urban/jeux_tennis_6031_81-2-.ogg
0.82133,0.40546,sound_urban/Jeux_football_.ogg
0.26483,0.22381,sound_urban/034_marteau_pique.ogg
0.47859,0.52116,sound_urban/020_marteau_pique.ogg
0.34107,0.28404,sound_urban/035_marteau_pique.ogg
0.094611,0.41702,sound_urban/Travaux_6012.ogg
0.15803,0.26642,sound_urban/Travaux_6011_.ogg
0.21145,0.35319,sound_urban/Travaux_6012_.ogg
0.058051,0.29209,sound_urban/Travaux_6012_.ogg
0.090564,0.38114,sound_urban/Travaux_6012_.ogg
0.075897,0.34757,sound_urban/Travaux_6012_.ogg
0.16669,0.29632,sound_urban/Travaux_6012_.ogg
0.13202,0.20502,sound_urban/Travaux_6012_.ogg
0.38735,0.60255,sound_urban/Travaux_6011.ogg
0.33771,0.54159,sound_urban/Travaux_6011_.ogg
0.49477,0.51646,sound_urban/Travaux_6012.ogg
0.73647,0.31855,sound_urban/Travaux_6012_.ogg
0.28521,0.15932,sound_urban/Travaux_6012_.ogg
0.49781,0.32785,sound_urban/Travaux_6012_.ogg
0.37335,0.35321,sound_urban/Travaux_6012_.ogg
0.16961,0.37745,sound_urban/Travaux_6012_.ogg
0.27872,0.38579,sound_urban/US_Bulldozer_travail.ogg
0.23484,0.61309,sound_urban/Travaux_6011_.ogg
0.2597,0.54679,sound_urban/Travaux_6011_.ogg
0.25201,0.44977,sound_urban/Travaux_6011_.ogg
0,0,sound_urban/Travaux_6012_.ogg
0.25178,0.65935,sound_urban/US_Bulldozer_travail.ogg
0.23522,0.50941,sound_urban/US_Bulldozer_travail.ogg
0.36343,0.63095,sound_urban/034_metal_tra.ogg
0.21503,0.42321,sound_urban/073_m.ogg
0.24111,0.5405,sound_urban/Travaux_6011_.ogg
0.50364,0.43377,sound_urban/Travaux_6012_.ogg
0.63955,0.20792,sound_urban/Pas_6016_homme_beton.ogg
0.34747,0.26218,sound_urban/Pas_6016_homme_beton.ogg
0.42252,0.20121,sound_urban/Pas_6016_homme_beton.ogg
0.54755,0.31847,sound_urban/Pas_6016_homme_beton.ogg
0.76294,0.17032,sound_urban/Pas_6016_femme_beton_.ogg
0.48733,0.18665,sound_urban/Pas_6016_femme_beton_.ogg
0.39251,0.17509,sound_urban/Pas_6016_femme_beton_.ogg
0.5355,0.20087,sound_urban/Pas_6016_femme_beton_.ogg
0.45191,0.26113,sound_urban/Pas_6016_femme_gravier_.ogg
0.37217,0.18664,sound_urban/Pas_6016_homme_gravier_.ogg
0.39969,0.24337,sound_urban/Pas_6016_homme_gravier_.ogg
0.51791,0.28428,sound_urban/Pas_6016_femme_gravier_.ogg
0.3719,0.20975,sound_urban/Pas_6016_homme_terre_.ogg
0.39777,0.19206,sound_urban/Pas_6016_homme_terre_.ogg
0.36311,0.21625,sound_urban/Pas_6016_homme_terre_.ogg
0.35955,0.19938,sound_urban/Pas_6016_homme_terre_.ogg
0.48178,0.27081,sound_urban/Pas_6016_femme_terre_.ogg
0.50345,0.30035,sound_urban/Pas_6016_femme_terre_.ogg
0.42232,0.27632,sound_urban/Pas_6016_femme_terre_.ogg
0.40977,0.21896,sound_urban/Pas_6016_femme_terre_.ogg
0.34091,0.36719,sound_urban/velo_6010_.ogg
0.31146,0.30997,sound_urban/velo_6010_.ogg
0.26905,0.43557,sound_urban/velo_6010_.ogg
0.35197,0.38876,sound_urban/velo_6010_.ogg
0.44846,0.30987,sound_urban/079_03_velo_.ogg
0.52518,0.38566,sound_urban/079_04_velo_fre.ogg
0.42813,0.40916,sound_urban/077_voix_hom.ogg
0.37036,0.39709,sound_urban/077_voix_hom.ogg
0.39993,0.44058,sound_urban/077_voix_hom.ogg
0.39104,0.37711,sound_urban/077_voix_hom.ogg
0.3929,0.51504,sound_urban/079_12_To.ogg
0.40301,0.32168,sound_urban/079_05_to.ogg
0.5279,0.45982,sound_urban/079_07_to.ogg
0.53806,0.4195,sound_urban/079_07_to.ogg
0.39099,0.29823,sound_urban/079_08_ri.ogg
0.35303,0.50948,sound_urban/077_voix_homme_ri.ogg
0.40888,0.40352,sound_urban/079_08_ri.ogg
0.44004,0.49986,sound_urban/079_11_ri.ogg
0.45792,0.4192,sound_urban/079_10_h.ogg
0.48053,0.43186,sound_urban/079_10_h.ogg
0.48816,0.49024,sound_urban/079_10_h.ogg
0.39151,0.47661,sound_urban/077_voix_f.ogg
0.34752,0.43455,sound_urban/077_voix_fem.ogg
